id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-07-17 14:30:38,"{""short_code"":""oWCnNk"",""original_url"":""https://acme.dev/harbor/canyon/1""}"
2,2,317,created,2025-02-23 16:48:29,"{""short_code"":""80vccv"",""original_url"":""https://acme.dev/mellow/beacon/2""}"
3,3,98,created,2025-11-06 18:36:49,"{""short_code"":""Y9H3Yd"",""original_url"":""https://relay.cloud/forest/network/3""}"
4,4,380,created,2026-01-20 03:07:05,"{""short_code"":""4wJXNx"",""original_url"":""https://seeded.app/quiet/kernel/4""}"
5,5,36,created,2025-03-15 02:11:10,"{""short_code"":""dI6jKX"",""original_url"":""https://hackstack.io/tidy/journey/5""}"
6,6,380,created,2025-09-02 08:20:32,"{""short_code"":""vvTnFN"",""original_url"":""https://opswise.net/silver/garden/6""}"
7,7,27,created,2025-06-27 18:04:43,"{""short_code"":""KypR29"",""original_url"":""https://hackstack.io/quiet/window/7""}"
8,8,334,created,2025-07-10 01:03:59,"{""short_code"":""LklWnZ"",""original_url"":""https://hackstack.io/navy/lagoon/8""}"
9,9,29,created,2025-03-26 15:22:03,"{""short_code"":""FrJAme"",""original_url"":""https://relay.cloud/jade/delta/9""}"
10,10,236,created,2025-11-26 05:29:22,"{""short_code"":""tjNtGj"",""original_url"":""https://hackstack.io/opal/valley/10""}"
11,11,186,created,2025-09-27 22:28:28,"{""short_code"":""sEiGeY"",""original_url"":""https://example.com/young/journey/11""}"
12,12,279,created,2025-06-26 03:22:06,"{""short_code"":""ZTvNgv"",""original_url"":""https://relay.cloud/young/delta/12""}"
13,13,178,created,2025-06-23 13:09:56,"{""short_code"":""FQ6ULX"",""original_url"":""https://hackstack.io/mellow/harvest/13""}"
14,14,34,created,2025-08-18 02:00:40,"{""short_code"":""eUFliQ"",""original_url"":""https://seeded.app/dawn/garden/14""}"
15,15,251,created,2025-09-20 16:13:41,"{""short_code"":""aAv4iB"",""original_url"":""https://opswise.net/opal/lagoon/15""}"
16,16,60,created,2025-09-13 04:06:56,"{""short_code"":""Z6fRbO"",""original_url"":""https://opswise.net/opal/network/16""}"
17,17,400,created,2025-01-02 16:41:14,"{""short_code"":""m6R6ub"",""original_url"":""https://seeded.app/harbor/trail/17""}"
18,18,303,created,2025-07-13 01:08:56,"{""short_code"":""8jNIgK"",""original_url"":""https://opswise.net/quiet/canyon/18""}"
19,19,352,created,2025-05-22 04:34:44,"{""short_code"":""6wBn58"",""original_url"":""https://example.com/ivory/engine/19""}"
20,20,292,created,2025-08-19 17:36:32,"{""short_code"":""UxWM01"",""original_url"":""https://hackstack.io/gold/orbit/20""}"
21,21,339,created,2025-08-25 05:40:16,"{""short_code"":""1HrxHY"",""original_url"":""https://example.com/jade/network/21""}"
22,22,138,created,2026-01-18 08:03:02,"{""short_code"":""bWN7MV"",""original_url"":""https://relay.cloud/lively/field/22""}"
23,23,162,created,2025-03-19 20:09:08,"{""short_code"":""1RchNY"",""original_url"":""https://seeded.app/lively/river/23""}"
24,24,365,created,2025-06-11 20:46:58,"{""short_code"":""sJ90MR"",""original_url"":""https://relay.cloud/ember/window/24""}"
25,25,374,created,2025-01-15 14:38:47,"{""short_code"":""Cbkg3Z"",""original_url"":""https://seeded.app/young/quartz/25""}"
26,26,137,created,2025-11-27 04:15:39,"{""short_code"":""2Oln9m"",""original_url"":""https://hackstack.io/forest/window/26""}"
27,27,38,created,2025-10-04 23:09:37,"{""short_code"":""hIEwkx"",""original_url"":""https://hackstack.io/ember/zenith/27""}"
28,28,186,created,2025-04-28 03:53:49,"{""short_code"":""bDWllW"",""original_url"":""https://acme.dev/navy/field/28""}"
29,29,110,created,2025-12-16 23:13:32,"{""short_code"":""hVcHQp"",""original_url"":""https://relay.cloud/dawn/anchor/29""}"
30,30,394,created,2025-04-19 19:14:45,"{""short_code"":""4ICzUG"",""original_url"":""https://seeded.app/mellow/delta/30""}"
31,31,352,created,2025-03-25 08:01:45,"{""short_code"":""5G41UD"",""original_url"":""https://seeded.app/young/island/31""}"
32,32,149,created,2025-05-14 14:39:19,"{""short_code"":""TVtRPl"",""original_url"":""https://relay.cloud/tidy/kernel/32""}"
33,33,301,created,2026-01-22 14:55:12,"{""short_code"":""WQtDSF"",""original_url"":""https://opswise.net/jade/garden/33""}"
34,34,92,created,2025-08-26 23:44:12,"{""short_code"":""05ZQtj"",""original_url"":""https://hackstack.io/urban/kernel/34""}"
35,35,70,created,2025-06-02 14:13:35,"{""short_code"":""s4l55S"",""original_url"":""https://example.com/jade/quartz/35""}"
36,36,303,created,2025-07-29 23:03:33,"{""short_code"":""jT1qxE"",""original_url"":""https://acme.dev/brisk/harvest/36""}"
37,37,387,created,2025-05-18 06:25:54,"{""short_code"":""1ourHD"",""original_url"":""https://relay.cloud/forest/valley/37""}"
38,38,240,created,2025-06-21 12:16:08,"{""short_code"":""ngmxZs"",""original_url"":""https://opswise.net/ember/field/38""}"
39,39,49,created,2025-07-09 15:13:56,"{""short_code"":""01NZI2"",""original_url"":""https://acme.dev/navy/pioneer/39""}"
40,40,126,created,2026-02-10 19:26:14,"{""short_code"":""XfHSHD"",""original_url"":""https://hackstack.io/keen/river/40""}"
41,41,12,created,2025-11-29 13:01:00,"{""short_code"":""07mRLT"",""original_url"":""https://opswise.net/dawn/orbit/41""}"
42,42,227,created,2025-12-15 08:48:28,"{""short_code"":""3WRWDK"",""original_url"":""https://acme.dev/navy/garden/42""}"
43,43,193,created,2026-02-16 07:25:07,"{""short_code"":""l8tVkL"",""original_url"":""https://hackstack.io/vivid/window/43""}"
44,44,77,created,2025-06-09 18:16:25,"{""short_code"":""Y5Ufxd"",""original_url"":""https://opswise.net/ivory/anchor/44""}"
45,45,47,created,2025-12-10 18:57:12,"{""short_code"":""YaI4cD"",""original_url"":""https://acme.dev/brisk/garden/45""}"
46,46,314,created,2025-06-20 21:19:05,"{""short_code"":""XZ3tKU"",""original_url"":""https://opswise.net/ember/network/46""}"
47,47,162,created,2025-06-29 04:41:01,"{""short_code"":""usUK14"",""original_url"":""https://opswise.net/cobalt/meadow/47""}"
48,48,224,created,2026-01-09 14:59:19,"{""short_code"":""Q1UE0N"",""original_url"":""https://opswise.net/dawn/island/48""}"
49,49,313,created,2025-06-13 00:26:47,"{""short_code"":""O88XIi"",""original_url"":""https://opswise.net/forest/orbit/49""}"
50,50,98,created,2025-12-15 17:09:28,"{""short_code"":""MzRAMC"",""original_url"":""https://example.com/opal/orbit/50""}"
51,51,368,created,2025-07-29 20:57:39,"{""short_code"":""437kQB"",""original_url"":""https://opswise.net/ivory/zenith/51""}"
52,52,62,created,2025-02-20 04:57:49,"{""short_code"":""UrmERJ"",""original_url"":""https://relay.cloud/silver/anchor/52""}"
53,53,97,created,2025-04-01 23:28:40,"{""short_code"":""LJW2a4"",""original_url"":""https://hackstack.io/silver/journey/53""}"
54,54,219,created,2025-10-06 10:59:20,"{""short_code"":""5AXCwX"",""original_url"":""https://opswise.net/tidy/signal/54""}"
55,55,357,created,2025-08-16 09:13:02,"{""short_code"":""8pbRQp"",""original_url"":""https://opswise.net/dawn/network/55""}"
56,56,10,created,2025-05-16 11:42:56,"{""short_code"":""CWy47i"",""original_url"":""https://opswise.net/gold/canyon/56""}"
57,57,349,created,2025-02-13 16:17:39,"{""short_code"":""vGbFLT"",""original_url"":""https://hackstack.io/warm/journey/57""}"
58,58,170,created,2025-07-10 03:46:04,"{""short_code"":""Bi16Cv"",""original_url"":""https://example.com/forest/quartz/58""}"
59,59,271,created,2025-02-12 07:19:25,"{""short_code"":""GrQJ5j"",""original_url"":""https://opswise.net/opal/window/59""}"
60,60,181,created,2025-12-20 09:50:44,"{""short_code"":""VllKqi"",""original_url"":""https://seeded.app/navy/beacon/60""}"
61,61,143,created,2025-05-25 16:40:49,"{""short_code"":""sv0sHT"",""original_url"":""https://opswise.net/cobalt/kernel/61""}"
62,62,159,created,2025-02-17 13:00:32,"{""short_code"":""VGBuc2"",""original_url"":""https://hackstack.io/ivory/garden/62""}"
63,63,304,created,2025-04-06 08:32:13,"{""short_code"":""NKXW6L"",""original_url"":""https://example.com/amber/field/63""}"
64,64,396,created,2025-02-21 19:54:26,"{""short_code"":""VaYLNz"",""original_url"":""https://example.com/ember/trail/64""}"
65,65,364,created,2025-07-24 03:12:57,"{""short_code"":""pLfDpr"",""original_url"":""https://hackstack.io/ivory/yard/65""}"
66,66,237,created,2025-08-15 02:44:26,"{""short_code"":""78M0a5"",""original_url"":""https://acme.dev/tidy/engine/66""}"
67,67,97,created,2025-03-14 04:30:37,"{""short_code"":""Ai4wHA"",""original_url"":""https://example.com/ember/canyon/67""}"
68,68,28,created,2025-05-10 09:20:29,"{""short_code"":""PYIVuu"",""original_url"":""https://relay.cloud/silver/engine/68""}"
69,69,363,created,2025-11-08 09:51:26,"{""short_code"":""WdtuoN"",""original_url"":""https://opswise.net/harbor/yard/69""}"
70,70,390,created,2026-01-21 08:30:26,"{""short_code"":""WEjKIh"",""original_url"":""https://example.com/silver/engine/70""}"
71,71,329,created,2026-02-15 20:13:13,"{""short_code"":""RW2Fpn"",""original_url"":""https://acme.dev/navy/window/71""}"
72,72,112,created,2025-10-18 01:06:38,"{""short_code"":""dpnIbr"",""original_url"":""https://acme.dev/ivory/uplink/72""}"
73,73,18,created,2025-09-15 15:02:06,"{""short_code"":""l5HBAW"",""original_url"":""https://acme.dev/calm/quartz/73""}"
74,74,325,created,2025-10-28 01:33:53,"{""short_code"":""PDeMae"",""original_url"":""https://acme.dev/warm/journey/74""}"
75,75,198,created,2025-07-22 04:37:58,"{""short_code"":""yvXzyL"",""original_url"":""https://opswise.net/navy/island/75""}"
76,76,100,created,2025-05-28 06:06:18,"{""short_code"":""4mg9R2"",""original_url"":""https://seeded.app/keen/lagoon/76""}"
77,77,164,created,2025-08-03 02:59:51,"{""short_code"":""BrAcbD"",""original_url"":""https://opswise.net/brisk/quartz/77""}"
78,78,60,created,2025-07-10 18:50:33,"{""short_code"":""GdLEyL"",""original_url"":""https://opswise.net/mellow/anchor/78""}"
79,79,213,created,2025-12-25 18:21:42,"{""short_code"":""fFm2Jh"",""original_url"":""https://example.com/gold/anchor/79""}"
80,80,168,created,2026-02-05 21:00:47,"{""short_code"":""Ck0Zab"",""original_url"":""https://acme.dev/tidy/field/80""}"
81,81,56,created,2025-03-22 13:16:54,"{""short_code"":""Tcgpo1"",""original_url"":""https://seeded.app/dawn/pioneer/81""}"
82,82,36,created,2025-01-29 02:14:53,"{""short_code"":""a6Ndlr"",""original_url"":""https://seeded.app/ember/valley/82""}"
83,83,287,created,2025-02-19 23:55:22,"{""short_code"":""yBOwQU"",""original_url"":""https://hackstack.io/amber/beacon/83""}"
84,84,340,created,2025-08-11 07:00:17,"{""short_code"":""5vtRNK"",""original_url"":""https://example.com/rapid/island/84""}"
85,85,128,created,2025-10-12 05:08:34,"{""short_code"":""JhQmmC"",""original_url"":""https://opswise.net/forest/meadow/85""}"
86,86,187,created,2026-01-07 14:03:21,"{""short_code"":""GwnvBE"",""original_url"":""https://acme.dev/rapid/pioneer/86""}"
87,87,51,created,2026-02-03 03:05:38,"{""short_code"":""5iuK6a"",""original_url"":""https://opswise.net/calm/harvest/87""}"
88,88,158,created,2025-01-16 03:02:32,"{""short_code"":""CFfZJG"",""original_url"":""https://hackstack.io/navy/signal/88""}"
89,89,296,created,2025-11-16 13:56:36,"{""short_code"":""tbGPAI"",""original_url"":""https://relay.cloud/rapid/uplink/89""}"
90,90,78,created,2025-10-03 16:03:29,"{""short_code"":""4QtiJf"",""original_url"":""https://acme.dev/young/beacon/90""}"
91,91,41,created,2025-06-12 05:01:39,"{""short_code"":""7YDaTa"",""original_url"":""https://acme.dev/calm/engine/91""}"
92,92,44,created,2025-05-18 16:09:06,"{""short_code"":""KnzkMd"",""original_url"":""https://opswise.net/mellow/quartz/92""}"
93,93,50,created,2025-06-24 15:13:44,"{""short_code"":""yvWSy0"",""original_url"":""https://acme.dev/tidy/anchor/93""}"
94,94,79,created,2025-11-25 18:30:40,"{""short_code"":""daN3N7"",""original_url"":""https://relay.cloud/silver/trail/94""}"
95,95,333,created,2025-08-08 12:48:13,"{""short_code"":""5prf3L"",""original_url"":""https://relay.cloud/jade/quartz/95""}"
96,96,64,created,2025-10-18 11:49:06,"{""short_code"":""kr9Ln3"",""original_url"":""https://example.com/warm/island/96""}"
97,97,108,created,2025-11-10 14:27:29,"{""short_code"":""oc30Ce"",""original_url"":""https://opswise.net/forest/uplink/97""}"
98,98,84,created,2026-02-04 10:26:17,"{""short_code"":""0xNipi"",""original_url"":""https://relay.cloud/forest/lagoon/98""}"
99,99,49,created,2025-08-26 19:09:59,"{""short_code"":""yMaEPp"",""original_url"":""https://opswise.net/amber/engine/99""}"
100,100,217,created,2025-11-01 10:30:55,"{""short_code"":""xc1bg8"",""original_url"":""https://example.com/tidy/canyon/100""}"
101,101,107,created,2025-05-03 20:44:14,"{""short_code"":""dq690h"",""original_url"":""https://hackstack.io/rapid/canyon/101""}"
102,102,241,created,2025-04-14 01:13:26,"{""short_code"":""u1e3LW"",""original_url"":""https://acme.dev/dawn/harvest/102""}"
103,103,374,created,2025-06-24 03:23:18,"{""short_code"":""n83TAq"",""original_url"":""https://acme.dev/urban/lagoon/103""}"
104,104,312,created,2025-04-16 18:46:09,"{""short_code"":""E02Zra"",""original_url"":""https://seeded.app/ivory/quartz/104""}"
105,105,54,created,2025-09-16 23:05:06,"{""short_code"":""mHxDei"",""original_url"":""https://example.com/opal/garden/105""}"
106,106,121,created,2026-02-14 12:42:16,"{""short_code"":""IJYtiS"",""original_url"":""https://seeded.app/cobalt/trail/106""}"
107,107,354,created,2026-01-29 04:33:44,"{""short_code"":""LyaD2x"",""original_url"":""https://example.com/keen/lagoon/107""}"
108,108,34,created,2025-10-21 02:23:02,"{""short_code"":""4ayKRS"",""original_url"":""https://example.com/ember/harvest/108""}"
109,109,53,created,2025-09-07 06:43:15,"{""short_code"":""mruuEs"",""original_url"":""https://opswise.net/jade/beacon/109""}"
110,110,96,created,2025-10-24 12:01:27,"{""short_code"":""LITGCF"",""original_url"":""https://acme.dev/ivory/delta/110""}"
